,A ADI,A AJG,AAL APA
2019-09-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-09-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-09-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-09-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-09-17,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-09-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-09-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-09-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-09-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-09-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-09-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-09-26,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-09-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-09-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-01,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-15,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-25,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-28,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-29,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-10-31,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-01,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-05,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-07,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-08,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-14,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-21,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-25,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-11-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-02,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-03,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-10,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-11,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-12,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-12-18,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-20,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-12-23,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-12-24,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2019-12-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-12-30,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2019-12-31,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-03,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-07,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-10,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-14,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-22,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-24,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-28,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-01-29,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-30,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-01-31,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-03,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-04,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-07,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-10,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-11,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-13,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-14,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-19,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-21,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-02-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-25,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-26,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-27,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-02-28,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-03,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-04,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-05,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-06,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-09,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-10,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-11,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-12,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-16,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-18,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-19,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-23,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-24,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-25,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-26,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-27,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-30,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-03-31,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-01,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-02,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-03,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-06,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-07,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-08,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-09,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-13,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-14,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-15,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-16,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-17,"[['SELL', 'A', 10], ['BUY', 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-20,"[[None, 'A', 10], [None, 'ADI', 10]]","[['SELL', 'A', 10], ['BUY', 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
2020-04-21,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[[None, 'AAL', 10], [None, 'APA', 10]]"
2020-04-22,"[[None, 'A', 10], [None, 'ADI', 10]]","[[None, 'A', 10], [None, 'AJG', 10]]","[['SELL', 'AAL', 10], ['BUY', 'APA', 10]]"
