,TOTAL,CASH,AUM
2023/03/24,95842.8,50217.02000000001,45625.78008747101
2023/03/27,96033.0,50217.02000000001,45815.979012966156
2023/03/28,94616.21,30160.34000000001,64455.87491083145
2023/03/29,94367.33,29331.310000000012,65036.02318429947
2023/03/30,94597.65,29331.310000000012,65266.344168663025
2023/03/31,95287.98,29331.310000000012,65956.67450594902
2023/04/03,95389.82,29331.310000000012,66058.51307368279
2023/04/04,95387.65,29563.690000000013,65823.9601650238
2023/04/05,95207.51,29563.690000000013,65643.81948280334
2023/04/06,95566.39,29563.690000000013,66002.69991087914
2023/04/10,95401.6,29628.460000000014,65773.14218330383
2023/04/11,93832.93,28227.300000000014,65605.63285017014
2023/04/12,93823.42,28227.300000000014,65596.11624145508
2023/04/13,94635.19,28227.300000000014,66407.88753843307
2023/04/14,95244.85,28227.300000000014,67017.54852724075
2023/04/17,95662.41,28227.300000000014,67435.10523319244
2023/04/18,95841.59,28227.300000000014,67614.28830480576
2023/04/19,95890.58,28227.300000000014,67663.27576065063
2023/04/20,95731.69,28227.300000000014,67504.38807821274
2023/04/21,95613.64,28227.300000000014,67386.34481048584
2023/04/24,95589.25,28227.300000000014,67361.94594836235
2023/04/25,94878.34,28227.300000000014,66651.03949403763
2023/04/26,95276.35,28227.300000000014,67049.05196237564
2023/04/27,96377.42,28227.300000000014,68150.1230044365
2023/04/28,96904.16,28357.490000000013,68546.67096233368
2023/05/01,97132.33,28433.490000000013,68698.8416697979
2023/05/02,96696.98,28540.95000000001,68156.03339362144
2023/05/03,96220.48,28540.95000000001,67679.53396236897
2023/05/04,95867.91,28540.95000000001,67326.95951068401
2023/05/05,97106.83,28610.150000000012,68496.68036162853
2023/05/08,97174.17,28610.150000000012,68564.01504278183
2023/05/09,96887.45,28610.150000000012,68277.29591417313
2023/05/10,97124.84,28610.150000000012,68514.68820118904
2023/05/11,97022.02,28610.150000000012,68411.87153756618
2023/05/12,96799.57,28610.150000000012,68189.41679286957
2023/05/15,96955.54,28610.150000000012,68345.38876438141
2023/05/16,96919.47,28610.150000000012,68309.31534337997
2023/05/17,97616.22,28610.150000000012,69006.06808638573
2023/05/18,98201.97,28626.710000000014,69575.26378297806
2023/05/19,98192.61,28626.710000000014,69565.89990854263
2023/05/22,98101.42,28626.710000000014,69474.70967268944
2023/05/23,97371.58,28626.710000000014,68744.87162542343
2023/05/24,97062.84,28626.710000000014,68436.12699317932
2023/05/25,97495.39,28626.710000000014,68868.68160390854
2023/05/26,98173.91,28626.710000000014,69547.20240974426
2023/05/30,98385.76,28626.710000000014,69759.04671907425
2023/05/31,98061.82,28626.710000000014,69435.1134212017
2023/06/01,98687.55,28626.710000000014,70060.83577251434
2023/06/02,99583.41,28742.110000000015,70841.29645395279
2023/06/05,99346.06,28742.110000000015,70603.94988703728
2023/06/06,99543.11,28742.110000000015,70800.99548435211
2023/06/07,99409.1,28814.240000000016,70594.85701107979
2023/06/08,99720.49,28838.720000000016,70881.7658572197
2023/06/09,99788.09,28838.720000000016,70949.36696314812
2023/06/12,100150.14,28838.720000000016,71311.41962790489
2023/06/13,99294.64,8718.770000000015,90575.87334895134
2023/06/14,99370.4,8718.770000000015,90651.63287425041
2023/06/15,100257.8,8718.770000000015,91539.03137373924
2023/06/16,99942.61,8718.770000000015,91223.84478282928
2023/06/20,99738.52,8718.770000000015,91019.75244855881
2023/06/21,99543.84,8718.770000000015,90825.06954145432
2023/06/22,99661.92,8718.770000000015,90943.15331840515
2023/06/23,99289.59,8718.770000000015,90570.8177961111
2023/06/26,99345.24,2709.220000000015,96636.02009046078
2023/06/27,100394.58,2709.220000000015,97685.35727202892
2023/06/28,100543.06,2709.220000000015,97833.8440502882
2023/06/29,100820.21,2709.220000000015,98110.99314689636
2023/06/30,101543.63,2709.220000000015,98834.41309905052
2023/07/03,101519.89,2709.220000000015,98810.66782236099
2023/07/05,101090.27,2775.8600000000147,98314.40904271603
2023/07/06,100953.27,2775.8600000000147,98177.40774202347
2023/07/07,101222.1,2775.8600000000147,98446.2373239994
2023/07/10,101387.53,2899.8200000000147,98487.70691716671
2023/07/11,101958.72,2899.8200000000147,99058.90248644352
2023/07/12,102873.96,2899.8200000000147,99974.13876497746
2023/07/13,103770.92,2899.8200000000147,100871.09942424297
2023/07/14,103483.13,2899.8200000000147,100583.30533051491
2023/07/17,104311.47,2899.8200000000147,101411.6454820633
2023/07/18,105347.68,2899.8200000000147,102447.8583290577
2023/07/19,105326.65,2899.8200000000147,102426.82595908642
2023/07/20,105334.17,2899.8200000000147,102434.3458867073
2023/07/21,104768.47,2899.8200000000147,101868.64953052998
2023/07/24,105722.64,2899.8200000000147,102822.82151317596
2023/07/25,105366.48,2899.8200000000147,102466.66287708282
2023/07/26,105690.23,2899.8200000000147,102790.40946483612
2023/07/27,104951.01,2899.8200000000147,102051.19001710415
2023/07/28,105890.56,3030.3200000000147,102860.24280929565
2023/07/31,106037.41,3106.3200000000147,102931.08711862564
2023/08/01,105923.34,3106.3200000000147,102817.01937007904
2023/08/02,105051.37,3119.9800000000146,101931.38822984695
2023/08/03,102725.2,3119.9800000000146,99605.22252631187
2023/08/04,101053.28,2413.9200000000146,98639.36270797253
2023/08/07,101788.94,12558.980000000014,89229.9568092823
2023/08/08,102034.98,12558.980000000014,89476.0038189888
2023/08/09,101580.69,15669.200000000013,85911.48893737793
2023/08/10,101313.07,15669.200000000013,85643.86974620819
2023/08/11,101431.37,19706.520000000015,81724.85187280178
